,tp,bcdry,LWin,SWin,sp,dustwet,ocwet,tcc,temp,dustdry,uwind,ocdry,bcwet,rh
2024-04-22 17:00:00,1.6111135e-05,1.3439251e-13,893172.7,1.0152e+06,87337.4,0.0,0.0,0.57177734,-5.342926,2.3341329e-12,2.3322766,9.596886e-13,0.0,92.28632
2024-04-22 18:00:00,1.5449525e-05,1.6353587e-13,891020.56,1.35e+06,87362.85,0.0,0.0,0.62768555,-4.049103,2.8155256e-12,2.4067445,1.1701795e-12,0.0,92.47544
2024-04-22 19:00:00,1.3512374e-05,1.1457503e-13,913550.2,1.6425e+06,87378.375,0.0,0.0,0.85302734,-2.268219,1.9673152e-12,2.2207098,7.740572e-13,0.0,90.40193
2024-04-22 20:00:00,1.6409158e-05,9.275918e-14,926647.9,1.76175e+06,87386.7,0.0,0.0,0.9226074,-1.1809387,1.6160406e-12,1.8412044,5.9708927e-13,0.0,87.48637
2024-04-22 21:00:00,1.808405e-05,6.89171e-14,967959.0,1.6866e+06,87379.48,0.0,0.0,0.9277344,-0.6497803,1.2447821e-12,1.2144058,4.288793e-13,0.0,86.86369
2024-04-22 22:00:00,2.1392108e-05,5.340175e-14,961054.9,1.71495e+06,87365.46,0.0,0.0,0.8618164,-0.19638062,9.960921e-13,0.7424647,3.2973646e-13,0.0,86.03573
2024-04-22 23:00:00,2.4449826e-05,4.2299528e-14,954936.06,1.62675e+06,87346.51,0.0,0.0,0.7548828,0.09503174,7.940315e-13,0.5417345,2.6112475e-13,0.0,83.96463
2024-04-23 00:00:00,2.2655724e-05,3.218259e-14,927561.2,1.5039e+06,87329.984,0.0,0.0,0.62280273,0.27026367,5.968559e-13,0.48106718,2.0938806e-13,0.0,84.23645
2024-04-23 01:00:00,2.2804736e-05,2.6520453e-14,893460.6,1.2492e+06,87308.086,0.0,0.0,0.50268555,0.41278076,4.8205884e-13,0.5492034,1.8707258e-13,0.0,83.02606
2024-04-23 02:00:00,2.5105477e-05,1.3874319e-14,866312.3,915525.0,87276.56,0.0,0.0,0.61938477,0.56781006,2.2959412e-13,0.6334541,1.1612933e-13,0.0,80.86657
2024-04-23 03:00:00,2.2649765e-05,9.530571e-15,866249.6,507375.0,87258.71,0.0,0.0,0.87353516,0.45547485,1.5049073e-13,0.57530564,8.862355e-14,0.0,81.89511
2024-04-23 04:00:00,3.029108e-05,7.754215e-15,888840.06,164812.5,87256.85,0.0,0.0,0.95092773,0.019012451,1.2811974e-13,0.46623117,6.908363e-14,0.0,85.28553
2024-04-23 05:00:00,1.7356873e-05,5.625722e-15,912491.4,10065.234,87265.266,0.0,0.0,0.95751953,-1.0683289,8.0713214e-14,0.42640832,6.13676e-14,0.0,86.23789
2024-04-23 06:00:00,1.3113022e-05,5.8373445e-15,920264.6,0.0,87277.21,0.0,0.0,0.9616699,-2.2843933,7.810419e-14,0.5014273,6.833423e-14,0.0,86.88307
2024-04-23 07:00:00,1.0156631e-05,5.9327556e-15,913420.1,0.0,87284.23,0.0,0.0,0.94506836,-3.4842834,7.51621e-14,0.6229733,7.269185e-14,0.0,89.09023
2024-04-23 08:00:00,1.0728836e-05,6.0889057e-15,890724.6,0.0,87282.82,0.0,0.0,0.93969727,-4.675659,7.371881e-14,0.75384676,7.557851e-14,0.0,91.08405
2024-04-23 09:00:00,8.183717e-06,6.454906e-15,877879.3,0.0,87277.69,0.0,0.0,0.96606445,-5.4845276,7.5245365e-14,0.82973826,8.04079e-14,0.0,91.98357
2024-04-23 10:00:00,4.388392e-06,6.74287e-15,861420.0,0.0,87270.164,0.0,0.0,0.9890137,-6.1080017,7.6494366e-14,0.87032443,8.174027e-14,0.0,92.738686
2024-04-23 11:00:00,6.487966e-06,7.438499e-15,885502.25,0.0,87253.99,0.0,0.0,0.99243164,-6.5238953,7.8881346e-14,0.8461909,8.959595e-14,0.0,93.23487
2024-04-23 12:00:00,8.895993e-06,7.942017e-15,910666.6,0.0,87227.36,7.718271e-13,1.0564882e-12,0.9863281,-6.6529236,7.954748e-14,0.7823403,9.6706e-14,1.751932e-13,93.0207
2024-04-23 13:00:00,5.7250263e-06,7.90736e-15,917934.4,245.10498,87192.77,4.9893434e-13,5.868639e-13,0.9650879,-6.5775757,7.84095e-14,0.77518046,9.893581e-14,9.9531494e-14,92.33874
2024-04-23 14:00:00,3.4093855e-06,8.077856e-15,913373.7,81731.25,87161.63,1.2867486e-13,1.3666847e-13,0.95336914,-6.3500977,7.918666e-14,0.8043724,1.04799524e-13,2.3245296e-14,91.72464
